Low,Median,High,Province,Occupation,NOC,Occupation_Code,Occupation_Code_2,OccupationDescription,OccupationDescription_2,Position_Code,Position
17.0,21.77,28.24,ON,Sawmill machine operators ,94120,9,94,Occupations in manufacturing and utilities,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,Workers/Machine Operators/Support
19.0,25.86,39.8,ON,"Pulp mill, papermaking and finishing machine operators ",94121,9,94,Occupations in manufacturing and utilities,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,Workers/Machine Operators/Support
16.55,21.62,27.0,ON,Paper converting machine operators ,94122,9,94,Occupations in manufacturing and utilities,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,Workers/Machine Operators/Support
17.0,22.33,31.39,ON,Lumber graders and other wood processing inspectors and graders ,94123,9,94,Occupations in manufacturing and utilities,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,Workers/Machine Operators/Support
18.0,20.0,27.0,ON,Woodworking machine operators ,94124,9,94,Occupations in manufacturing and utilities,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,Workers/Machine Operators/Support
19.0,20.0,27.77,ON,Other wood processing machine operators ,94129,9,94,Occupations in manufacturing and utilities,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,Workers/Machine Operators/Support
16.55,18.2,24.56,ON,"Textile fibre and yarn, hide and pelt processing machine operators and workers ",94130,9,94,Occupations in manufacturing and utilities,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,Workers/Machine Operators/Support
16.55,17.0,22.21,ON,"Weavers, knitters and other fabric making occupations ",94131,9,94,Occupations in manufacturing and utilities,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,Workers/Machine Operators/Support
16.55,16.55,20.0,ON,Industrial sewing machine operators ,94132,9,94,Occupations in manufacturing and utilities,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,Workers/Machine Operators/Support
16.55,16.55,20.0,ON,"Inspectors and graders, textile, fabric, fur and leather products manufacturing ",94133,9,94,Occupations in manufacturing and utilities,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,Workers/Machine Operators/Support
16.55,19.95,28.05,ON,"Process control and machine operators, food and beverage processing ",94140,9,94,Occupations in manufacturing and utilities,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,Workers/Machine Operators/Support
16.55,21.5,25.0,ON,"Industrial butchers and meat cutters, poultry preparers and related workers ",94141,9,94,Occupations in manufacturing and utilities,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,Workers/Machine Operators/Support
16.55,20.0,29.68,ON,Fish and seafood plant workers ,94142,9,94,Occupations in manufacturing and utilities,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,Workers/Machine Operators/Support
16.55,22.12,38.46,ON,"Testers and graders, food and beverage processing ",94143,9,94,Occupations in manufacturing and utilities,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,Workers/Machine Operators/Support
16.55,20.33,28.65,ON,Plateless printing equipment operators ,94150,9,94,Occupations in manufacturing and utilities,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,Workers/Machine Operators/Support
17.34,27.36,41.91,ON,"Camera, platemaking and other prepress occupations ",94151,9,94,Occupations in manufacturing and utilities,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,Workers/Machine Operators/Support
16.55,19.48,27.5,ON,Binding and finishing machine operators ,94152,9,94,Occupations in manufacturing and utilities,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,Workers/Machine Operators/Support
16.55,17.99,26.66,ON,Photographic and film processors ,94153,9,94,Occupations in manufacturing and utilities,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,Workers/Machine Operators/Support
20.0,26.62,37.0,ON,"Motor vehicle assemblers, inspectors and testers ",94200,9,94,Occupations in manufacturing and utilities,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,Workers/Machine Operators/Support
16.55,19.0,30.0,ON,"Electronics assemblers, fabricators, inspectors and testers ",94201,9,94,Occupations in manufacturing and utilities,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,Workers/Machine Operators/Support
16.55,23.0,33.33,ON,"Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing ",94202,9,94,Occupations in manufacturing and utilities,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,Workers/Machine Operators/Support
16.75,22.0,38.46,ON,"Assemblers, fabricators and inspectors, industrial electrical motors and transformers ",94203,9,94,Occupations in manufacturing and utilities,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,Workers/Machine Operators/Support
16.55,22.22,28.85,ON,Mechanical assemblers and inspectors ,94204,9,94,Occupations in manufacturing and utilities,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,Workers/Machine Operators/Support
16.55,19.97,25.82,ON,"Machine operators and inspectors, electrical apparatus manufacturing ",94205,9,94,Occupations in manufacturing and utilities,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,Workers/Machine Operators/Support
16.55,19.0,26.0,ON,"Furniture and fixture assemblers, finishers, refinishers and inspectors ",94210,9,94,Occupations in manufacturing and utilities,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,Workers/Machine Operators/Support
16.55,18.0,25.0,ON,Assemblers and inspectors of other wood products ,94211,9,94,Occupations in manufacturing and utilities,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,Workers/Machine Operators/Support
16.55,19.0,22.23,ON,"Plastic products assemblers, finishers and inspectors ",94212,9,94,Occupations in manufacturing and utilities,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,Workers/Machine Operators/Support
18.0,23.0,33.0,ON,"Industrial painters, coaters and metal finishing process operators ",94213,9,94,Occupations in manufacturing and utilities,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,Workers/Machine Operators/Support
16.55,20.0,27.51,ON,"Other products assemblers, finishers and inspectors ",94219,9,94,Occupations in manufacturing and utilities,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,Workers/Machine Operators/Support
17.0,22.5,32.76,ON,Labourers in mineral and metal processing ,95100,9,95,Occupations in manufacturing and utilities,"Labourers in processing, manufacturing and utilities",5,Labourers/Drivers/Support
16.55,20.87,28.23,ON,Labourers in metal fabrication ,95101,9,95,Occupations in manufacturing and utilities,"Labourers in processing, manufacturing and utilities",5,Labourers/Drivers/Support
17.0,24.0,37.77,ON,Labourers in chemical products processing and utilities ,95102,9,95,Occupations in manufacturing and utilities,"Labourers in processing, manufacturing and utilities",5,Labourers/Drivers/Support
16.55,20.0,27.49,ON,"Labourers in wood, pulp and paper processing ",95103,9,95,Occupations in manufacturing and utilities,"Labourers in processing, manufacturing and utilities",5,Labourers/Drivers/Support
16.55,18.65,29.0,ON,Labourers in rubber and plastic products manufacturing ,95104,9,95,Occupations in manufacturing and utilities,"Labourers in processing, manufacturing and utilities",5,Labourers/Drivers/Support
16.55,18.0,24.87,ON,Labourers in textile processing and cutting ,95105,9,95,Occupations in manufacturing and utilities,"Labourers in processing, manufacturing and utilities",5,Labourers/Drivers/Support
16.55,18.27,26.0,ON,Labourers in food and beverage processing ,95106,9,95,Occupations in manufacturing and utilities,"Labourers in processing, manufacturing and utilities",5,Labourers/Drivers/Support
16.55,17.0,19.0,ON,Labourers in fish and seafood processing ,95107,9,95,Occupations in manufacturing and utilities,"Labourers in processing, manufacturing and utilities",5,Labourers/Drivers/Support
16.55,18.0,23.1,ON,"Other labourers in processing, manufacturing and utilities ",95109,9,95,Occupations in manufacturing and utilities,"Labourers in processing, manufacturing and utilities",5,Labourers/Drivers/Support
19.12,40.83,89.17,BC,Legislators ,00010,0,00,Legislative and senior management occupations,Legislative and senior managers,0,Managers
34.72,57.17,135.9,BC,Senior government managers and officials ,00011,0,00,Legislative and senior management occupations,Legislative and senior managers,0,Managers
48.27,92.31,125.0,BC,"Senior managers - financial, communications and other business services ",00012,0,00,Legislative and senior management occupations,Legislative and senior managers,0,Managers
23.27,38.46,82.05,BC,"Senior managers - trade, broadcasting and other services ",00014,0,00,Legislative and senior management occupations,Legislative and senior managers,0,Managers
24.33,45.42,97.44,BC,"Senior managers - construction, transportation, production and utilities ",00015,0,00,Legislative and senior management occupations,Legislative and senior managers,0,Managers
33.62,54.0,91.35,BC,Financial managers ,10010,1,10,"Business, finance and administration occupations","Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",0,Managers
36.53,56.41,80.22,BC,Human resources managers ,10011,1,10,"Business, finance and administration occupations","Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",0,Managers
36.0,58.94,73.85,BC,Purchasing managers ,10012,1,10,"Business, finance and administration occupations","Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",0,Managers
28.85,49.74,96.15,BC,Other administrative services managers ,10019,1,10,"Business, finance and administration occupations","Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",0,Managers
34.62,50.0,76.92,BC,"Insurance, real estate and financial brokerage managers ",10020,1,10,"Business, finance and administration occupations","Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",0,Managers
27.69,49.15,95.19,BC,"Banking, credit and other investment managers ",10021,1,10,"Business, finance and administration occupations","Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",0,Managers
28.85,52.88,96.15,BC,"Advertising, marketing and public relations managers ",10022,1,10,"Business, finance and administration occupations","Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",0,Managers
32.69,43.96,69.23,BC,Other business services managers ,10029,1,10,"Business, finance and administration occupations","Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",0,Managers
36.86,46.15,66.67,BC,Telecommunication carriers managers ,10030,1,10,"Business, finance and administration occupations","Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",0,Managers
23.08,37.33,58.0,BC,Financial auditors and accountants ,11100,1,11,"Business, finance and administration occupations",Professional occupations in finance and business,1,Professionals
26.0,37.83,61.54,BC,Financial and investment analysts ,11101,1,11,"Business, finance and administration occupations",Professional occupations in finance and business,1,Professionals
23.08,38.46,76.92,BC,Financial advisors ,11102,1,11,"Business, finance and administration occupations",Professional occupations in finance and business,1,Professionals
26.44,36.54,61.54,BC,"Securities agents, investment dealers and brokers ",11103,1,11,"Business, finance and administration occupations",Professional occupations in finance and business,1,Professionals
22.05,40.87,76.92,BC,Other financial officers ,11109,1,11,"Business, finance and administration occupations",Professional occupations in finance and business,1,Professionals
25.0,38.46,61.54,BC,Human resources professionals ,11200,1,11,"Business, finance and administration occupations",Professional occupations in finance and business,1,Professionals
26.13,40.51,62.5,BC,Professional occupations in business management consulting ,11201,1,11,"Business, finance and administration occupations",Professional occupations in finance and business,1,Professionals
18.5,28.75,55.38,BC,"Professional occupations in advertising, marketing and public relations ",11202,1,11,"Business, finance and administration occupations",Professional occupations in finance and business,1,Professionals
22.56,31.0,45.0,BC,"Supervisors, general office and administrative support workers ",12010,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors
20.0,32.45,52.54,BC,"Supervisors, finance and insurance office workers ",12011,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors
22.34,29.53,42.0,BC,"Supervisors, library, correspondence and related information workers ",12012,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors
20.0,31.25,44.28,BC,"Supervisors, supply chain, tracking and scheduling coordination occupations ",12013,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors
20.19,31.2,48.08,BC,Executive assistants ,12100,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors
20.19,29.23,62.5,BC,Human resources and recruitment officers ,12101,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors
24.5,36.92,48.62,BC,Procurement and purchasing agents and officers ,12102,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors
18.0,28.68,43.5,BC,Conference and event planners ,12103,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors
26.0,31.6,45.0,BC,Employment insurance and revenue officers ,12104,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors
22.0,25.71,30.0,BC,"Court reporters, medical transcriptionists and related occupations ",12110,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors
29.0,31.41,41.0,BC,Health information management occupations ,12111,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors
22.55,29.44,44.44,BC,Records management technicians ,12112,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors
16.75,30.52,52.05,BC,Statistical officers and related research support occupations ,12113,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors
18.0,25.38,42.86,BC,Accounting technicians and bookkeepers ,12200,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors
22.76,35.38,50.0,BC,Insurance adjusters and claims examiners ,12201,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors
20.63,40.87,68.68,BC,Insurance underwriters ,12202,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors
16.75,36.08,56.39,BC,"Assessors, business valuators and appraisers ",12203,1,12,"Business, finance and administration occupations",Administrative and financial supervisors and specialized administrative occupations,2,Technical Occupations and/or Supervisors
20.11,28.77,43.75,BC,Administrative officers ,13100,1,13,"Business, finance and administration occupations",Administrative occupations and transportation logistics occupations,3,General Occupations/Trades
17.5,25.85,46.0,BC,Property administrators ,13101,1,13,"Business, finance and administration occupations",Administrative occupations and transportation logistics occupations,3,General Occupations/Trades
20.0,27.88,38.58,BC,Payroll administrators ,13102,1,13,"Business, finance and administration occupations",Administrative occupations and transportation logistics occupations,3,General Occupations/Trades
17.86,25.07,35.0,BC,Administrative assistants ,13110,1,13,"Business, finance and administration occupations",Administrative occupations and transportation logistics occupations,3,General Occupations/Trades
19.38,26.0,39.56,BC,Legal administrative assistants ,13111,1,13,"Business, finance and administration occupations",Administrative occupations and transportation logistics occupations,3,General Occupations/Trades
20.0,23.0,29.57,BC,Medical administrative assistants ,13112,1,13,"Business, finance and administration occupations",Administrative occupations and transportation logistics occupations,3,General Occupations/Trades
17.76,27.39,49.59,BC,"Customs, ship and other brokers ",13200,1,13,"Business, finance and administration occupations",Administrative occupations and transportation logistics occupations,3,General Occupations/Trades
18.5,24.04,32.69,BC,Production and transportation logistics coordinators ,13201,1,13,"Business, finance and administration occupations",Administrative occupations and transportation logistics occupations,3,General Occupations/Trades
16.75,23.0,32.05,BC,General office support workers ,14100,1,14,"Business, finance and administration occupations",Administrative and financial support and supply chain logistics occupations,4,Workers/Machine Operators/Support
16.75,21.0,27.0,BC,Receptionists ,14101,1,14,"Business, finance and administration occupations",Administrative and financial support and supply chain logistics occupations,4,Workers/Machine Operators/Support
22.0,25.42,35.6,BC,Personnel clerks ,14102,1,14,"Business, finance and administration occupations",Administrative and financial support and supply chain logistics occupations,4,Workers/Machine Operators/Support
28.21,31.0,48.0,BC,Court clerks and related court services occupations ,14103,1,14,"Business, finance and administration occupations",Administrative and financial support and supply chain logistics occupations,4,Workers/Machine Operators/Support
17.0,23.0,43.27,BC,Survey interviewers and statistical clerks ,14110,1,14,"Business, finance and administration occupations",Administrative and financial support and supply chain logistics occupations,4,Workers/Machine Operators/Support
17.0,24.0,40.38,BC,Data entry clerks ,14111,1,14,"Business, finance and administration occupations",Administrative and financial support and supply chain logistics occupations,4,Workers/Machine Operators/Support
17.6,23.81,33.33,BC,Accounting and related clerks ,14200,1,14,"Business, finance and administration occupations",Administrative and financial support and supply chain logistics occupations,4,Workers/Machine Operators/Support
19.0,24.26,32.21,BC,"Banking, insurance and other financial clerks ",14201,1,14,"Business, finance and administration occupations",Administrative and financial support and supply chain logistics occupations,4,Workers/Machine Operators/Support
19.0,25.96,33.33,BC,Collection clerks ,14202,1,14,"Business, finance and administration occupations",Administrative and financial support and supply chain logistics occupations,4,Workers/Machine Operators/Support
16.75,25.0,31.56,BC,Library assistants and clerks ,14300,1,14,"Business, finance and administration occupations",Administrative and financial support and supply chain logistics occupations,4,Workers/Machine Operators/Support
18.86,28.0,39.9,BC,"Correspondence, publication and regulatory clerks ",14301,1,14,"Business, finance and administration occupations",Administrative and financial support and supply chain logistics occupations,4,Workers/Machine Operators/Support
16.75,20.0,30.0,BC,Shippers and receivers ,14400,1,14,"Business, finance and administration occupations",Administrative and financial support and supply chain logistics occupations,4,Workers/Machine Operators/Support
20.0,26.51,42.0,BC,Storekeepers and partspersons ,14401,1,14,"Business, finance and administration occupations",Administrative and financial support and supply chain logistics occupations,4,Workers/Machine Operators/Support
16.91,27.99,46.65,BC,Production logistics workers ,14402,1,14,"Business, finance and administration occupations",Administrative and financial support and supply chain logistics occupations,4,Workers/Machine Operators/Support
17.0,24.0,42.5,BC,Purchasing and inventory control workers ,14403,1,14,"Business, finance and administration occupations",Administrative and financial support and supply chain logistics occupations,4,Workers/Machine Operators/Support
17.75,28.0,38.46,BC,Dispatchers ,14404,1,14,"Business, finance and administration occupations",Administrative and financial support and supply chain logistics occupations,4,Workers/Machine Operators/Support
19.32,29.73,47.81,BC,Transportation route and crew schedulers ,14405,1,14,"Business, finance and administration occupations",Administrative and financial support and supply chain logistics occupations,4,Workers/Machine Operators/Support
42.0,60.0,88.94,BC,Engineering managers ,20010,2,20,Natural and applied sciences and related occupations,"Specialized middle management occupations in engineering, architecture, science and information systems",0,Managers
36.54,50.6,84.38,BC,Architecture and science managers ,20011,2,20,Natural and applied sciences and related occupations,"Specialized middle management occupations in engineering, architecture, science and information systems",0,Managers
37.0,59.62,92.31,BC,Computer and information systems managers ,20012,2,20,Natural and applied sciences and related occupations,"Specialized middle management occupations in engineering, architecture, science and information systems",0,Managers
29.51,50.3,88.14,BC,Physicists and astronomers ,21100,2,21,Natural and applied sciences and related occupations,Professional occupations in natural and applied sciences,1,Professionals
25.0,46.7,74.36,BC,Chemists ,21101,2,21,Natural and applied sciences and related occupations,Professional occupations in natural and applied sciences,1,Professionals
36.15,62.5,86.54,BC,Geoscientists and oceanographers ,21102,2,21,Natural and applied sciences and related occupations,Professional occupations in natural and applied sciences,1,Professionals
,53.47,,BC,Meteorologists and climatologists ,21103,2,21,Natural and applied sciences and related occupations,Professional occupations in natural and applied sciences,1,Professionals
25.96,36.5,52.2,BC,Biologists and related scientists ,21110,2,21,Natural and applied sciences and related occupations,Professional occupations in natural and applied sciences,1,Professionals
30.3,36.25,54.27,BC,Forestry professionals ,21111,2,21,Natural and applied sciences and related occupations,Professional occupations in natural and applied sciences,1,Professionals
19.59,35.19,49.93,BC,"Agricultural representatives, consultants and specialists ",21112,2,21,Natural and applied sciences and related occupations,Professional occupations in natural and applied sciences,1,Professionals
25.24,38.5,57.69,BC,Public and environmental health and safety professionals ,21120,2,21,Natural and applied sciences and related occupations,Professional occupations in natural and applied sciences,1,Professionals
25.24,43.27,71.79,BC,Architects ,21200,2,21,Natural and applied sciences and related occupations,Professional occupations in natural and applied sciences,1,Professionals
19.67,36.54,54.7,BC,Landscape architects ,21201,2,21,Natural and applied sciences and related occupations,Professional occupations in natural and applied sciences,1,Professionals
30.0,48.89,62.5,BC,Urban and land use planners ,21202,2,21,Natural and applied sciences and related occupations,Professional occupations in natural and applied sciences,1,Professionals
25.0,37.0,55.0,BC,Land surveyors ,21203,2,21,Natural and applied sciences and related occupations,Professional occupations in natural and applied sciences,1,Professionals
38.46,42.31,48.08,BC,"Mathematicians, statisticians and actuaries ",21210,2,21,Natural and applied sciences and related occupations,Professional occupations in natural and applied sciences,1,Professionals
22.67,46.1,83.56,BC,Data scientists ,21211,2,21,Natural and applied sciences and related occupations,Professional occupations in natural and applied sciences,1,Professionals
25.0,47.34,69.23,BC,Cybersecurity specialists ,21220,2,21,Natural and applied sciences and related occupations,Professional occupations in natural and applied sciences,1,Professionals
26.44,44.06,61.05,BC,Business systems specialists ,21221,2,21,Natural and applied sciences and related occupations,Professional occupations in natural and applied sciences,1,Professionals
26.0,42.0,62.37,BC,Information systems specialists ,21222,2,21,Natural and applied sciences and related occupations,Professional occupations in natural and applied sciences,1,Professionals
21.88,38.0,57.69,BC,Database analysts and data administrators ,21223,2,21,Natural and applied sciences and related occupations,Professional occupations in natural and applied sciences,1,Professionals
23.08,41.03,62.5,BC,Computer systems developers and programmers ,21230,2,21,Natural and applied sciences and related occupations,Professional occupations in natural and applied sciences,1,Professionals
32.69,53.84,86.54,BC,Software engineers and designers ,21231,2,21,Natural and applied sciences and related occupations,Professional occupations in natural and applied sciences,1,Professionals
26.0,46.09,72.12,BC,Software developers and programmers ,21232,2,21,Natural and applied sciences and related occupations,Professional occupations in natural and applied sciences,1,Professionals
22.0,30.29,49.23,BC,Web designers ,21233,2,21,Natural and applied sciences and related occupations,Professional occupations in natural and applied sciences,1,Professionals
16.75,36.72,61.43,BC,Web developers and programmers ,21234,2,21,Natural and applied sciences and related occupations,Professional occupations in natural and applied sciences,1,Professionals
27.44,52.85,88.0,BC,Civil engineers ,21300,2,21,Natural and applied sciences and related occupations,Professional occupations in natural and applied sciences,1,Professionals
24.04,38.46,74.52,BC,Mechanical engineers ,21301,2,21,Natural and applied sciences and related occupations,Professional occupations in natural and applied sciences,1,Professionals
28.85,48.72,72.12,BC,Electrical and electronics engineers ,21310,2,21,Natural and applied sciences and related occupations,Professional occupations in natural and applied sciences,1,Professionals
25.85,42.0,61.54,BC,Computer engineers (except software engineers and designers) ,21311,2,21,Natural and applied sciences and related occupations,Professional occupations in natural and applied sciences,1,Professionals
23.13,47.78,75.5,BC,Chemical engineers ,21320,2,21,Natural and applied sciences and related occupations,Professional occupations in natural and applied sciences,1,Professionals
20.83,44.23,78.85,BC,Industrial and manufacturing engineers ,21321,2,21,Natural and applied sciences and related occupations,Professional occupations in natural and applied sciences,1,Professionals
18.65,47.1,75.54,BC,Metallurgical and materials engineers ,21322,2,21,Natural and applied sciences and related occupations,Professional occupations in natural and applied sciences,1,Professionals
32.05,47.62,60.0,BC,Mining engineers ,21330,2,21,Natural and applied sciences and related occupations,Professional occupations in natural and applied sciences,1,Professionals
28.01,49.83,90.69,BC,Geological engineers ,21331,2,21,Natural and applied sciences and related occupations,Professional occupations in natural and applied sciences,1,Professionals
,46.7,,BC,Petroleum engineers ,21332,2,21,Natural and applied sciences and related occupations,Professional occupations in natural and applied sciences,1,Professionals
23.38,45.72,63.63,BC,Aerospace engineers ,21390,2,21,Natural and applied sciences and related occupations,Professional occupations in natural and applied sciences,1,Professionals
30.0,43.5,64.9,BC,Other professional engineers ,21399,2,21,Natural and applied sciences and related occupations,Professional occupations in natural and applied sciences,1,Professionals
18.5,21.0,32.69,BC,Chemical technologists and technicians ,22100,2,22,Natural and applied sciences and related occupations,Technical occupations related to natural and applied sciences,2,Technical Occupations and/or Supervisors
17.5,32.0,78.38,BC,Geological and mineral technologists and technicians ,22101,2,22,Natural and applied sciences and related occupations,Technical occupations related to natural and applied sciences,2,Technical Occupations and/or Supervisors
17.86,23.41,30.44,BC,Biological technologists and technicians ,22110,2,22,Natural and applied sciences and related occupations,Technical occupations related to natural and applied sciences,2,Technical Occupations and/or Supervisors
20.36,33.45,45.57,BC,Agricultural and fish products inspectors ,22111,2,22,Natural and applied sciences and related occupations,Technical occupations related to natural and applied sciences,2,Technical Occupations and/or Supervisors
19.5,29.81,44.23,BC,Forestry technologists and technicians ,22112,2,22,Natural and applied sciences and related occupations,Technical occupations related to natural and applied sciences,2,Technical Occupations and/or Supervisors
26.67,36.75,46.7,BC,Conservation and fishery officers ,22113,2,22,Natural and applied sciences and related occupations,Technical occupations related to natural and applied sciences,2,Technical Occupations and/or Supervisors
18.0,23.0,30.0,BC,Landscape and horticulture technicians and specialists ,22114,2,22,Natural and applied sciences and related occupations,Technical occupations related to natural and applied sciences,2,Technical Occupations and/or Supervisors
21.0,31.25,49.25,BC,Architectural technologists and technicians ,22210,2,22,Natural and applied sciences and related occupations,Technical occupations related to natural and applied sciences,2,Technical Occupations and/or Supervisors
24.64,38.43,65.04,BC,Industrial designers ,22211,2,22,Natural and applied sciences and related occupations,Technical occupations related to natural and applied sciences,2,Technical Occupations and/or Supervisors
22.0,32.0,43.59,BC,Drafting technologists and technicians ,22212,2,22,Natural and applied sciences and related occupations,Technical occupations related to natural and applied sciences,2,Technical Occupations and/or Supervisors
20.89,38.46,46.0,BC,Land survey technologists and technicians ,22213,2,22,Natural and applied sciences and related occupations,Technical occupations related to natural and applied sciences,2,Technical Occupations and/or Supervisors
25.0,36.0,45.0,BC,Technical occupations in geomatics and meteorology ,22214,2,22,Natural and applied sciences and related occupations,Technical occupations related to natural and applied sciences,2,Technical Occupations and/or Supervisors
23.08,31.25,45.05,BC,Computer network and web technicians ,22220,2,22,Natural and applied sciences and related occupations,Technical occupations related to natural and applied sciences,2,Technical Occupations and/or Supervisors
20.19,30.77,48.08,BC,User support technicians ,22221,2,22,Natural and applied sciences and related occupations,Technical occupations related to natural and applied sciences,2,Technical Occupations and/or Supervisors
19.0,34.62,44.23,BC,Information systems testing technicians ,22222,2,22,Natural and applied sciences and related occupations,Technical occupations related to natural and applied sciences,2,Technical Occupations and/or Supervisors
22.5,36.95,52.88,BC,Non-destructive testers and inspectors ,22230,2,22,Natural and applied sciences and related occupations,Technical occupations related to natural and applied sciences,2,Technical Occupations and/or Supervisors
28.0,42.0,76.92,BC,Engineering inspectors and regulatory officers ,22231,2,22,Natural and applied sciences and related occupations,Technical occupations related to natural and applied sciences,2,Technical Occupations and/or Supervisors
20.0,40.0,58.0,BC,Occupational health and safety specialists ,22232,2,22,Natural and applied sciences and related occupations,Technical occupations related to natural and applied sciences,2,Technical Occupations and/or Supervisors
25.0,36.0,55.24,BC,Construction inspectors ,22233,2,22,Natural and applied sciences and related occupations,Technical occupations related to natural and applied sciences,2,Technical Occupations and/or Supervisors
20.8,34.62,49.0,BC,Civil engineering technologists and technicians ,22300,2,22,Natural and applied sciences and related occupations,Technical occupations related to natural and applied sciences,2,Technical Occupations and/or Supervisors
22.6,31.28,48.08,BC,Mechanical engineering technologists and technicians ,22301,2,22,Natural and applied sciences and related occupations,Technical occupations related to natural and applied sciences,2,Technical Occupations and/or Supervisors
21.0,36.06,45.0,BC,Industrial engineering and manufacturing technologists and technicians ,22302,2,22,Natural and applied sciences and related occupations,Technical occupations related to natural and applied sciences,2,Technical Occupations and/or Supervisors
24.04,38.46,67.31,BC,Construction estimators ,22303,2,22,Natural and applied sciences and related occupations,Technical occupations related to natural and applied sciences,2,Technical Occupations and/or Supervisors
23.5,36.0,46.25,BC,Electrical and electronics engineering technologists and technicians ,22310,2,22,Natural and applied sciences and related occupations,Technical occupations related to natural and applied sciences,2,Technical Occupations and/or Supervisors
19.95,28.0,37.0,BC,Electronic service technicians (household and business equipment) ,22311,2,22,Natural and applied sciences and related occupations,Technical occupations related to natural and applied sciences,2,Technical Occupations and/or Supervisors
23.09,46.78,74.17,BC,Industrial instrument technicians and mechanics ,22312,2,22,Natural and applied sciences and related occupations,Technical occupations related to natural and applied sciences,2,Technical Occupations and/or Supervisors
