Occupation (NOC),Low,Median,High,Province
Educational counsellors (41320),23.16,38.29,48.56,NS
Career development practitioners and career counsellors (except education) (41321),20,26,40,NS
"Natural and applied science policy researchers, consultants and program officers (41400)",24.04,41.21,52.56,NS
Economists and economic policy researchers and analysts (41401),17,40.11,62.5,NS
Business development officers and market researchers and analysts (41402),22,45.13,64.1,NS
"Social policy researchers, consultants and program officers (41403)",19.17,37.9,52.2,NS
"Health policy researchers, consultants and program officers (41404)",21.58,34.34,43.59,NS
"Education policy researchers, consultants and program officers (41405)",25,33.65,49.15,NS
"Recreation, sports and fitness policy researchers, consultants and program officers (41406)",18.28,25,39.33,NS
Program officers unique to government (41407),22,38.2,52.75,NS
Other professional occupations in social science (41409),N/A,37.64,N/A,NS
Police officers (except commissioned) (42100),26.49,47.12,56.25,NS
Firefighters (42101),30.05,40,50,NS
Specialized members of the Canadian Armed Forces (42102),23.68,33.59,40.73,NS
Paralegals and related occupations (42200),19.23,24.73,38.42,NS
Social and community service workers (42201),16.5,20.2,32.97,NS
Early childhood educators and assistants (42202),15,18,23.5,NS
Instructors of persons with disabilities (42203),16,22.13,31.98,NS
Religion workers (42204),N/A,22.75,N/A,NS
Elementary and secondary school teacher assistants (43100),15,19,23,NS
Other instructors (43109),15,22,29.75,NS
Sheriffs and bailiffs (43200),24.04,32.97,34.07,NS
Correctional service officers (43201),30,40.87,47.12,NS
By-law enforcement and other regulatory officers (43202),19.59,31.87,45,NS
"Border services, customs, and immigration officers (43203)",28.66,30,33,NS
Operations Members of the Canadian Armed Forces (43204),24.59,34.25,42.15,NS
Home child care providers (44100),15,16,20,NS
"Home support workers, caregivers and related occupations (44101)",15,18,23,NS
Primary combat members of the Canadian Armed Forces (44200),19,32.06,43.59,NS
"Student monitors, crossing guards and related occupations (45100)",15,16,22.4,NS
"Library, archive, museum and art gallery managers (50010)",16.5,30.22,46.7,NS
"Managers - publishing, motion pictures, broadcasting and performing arts (50011)",25.93,37.83,58.38,NS
"Recreation, sports and fitness program and service directors (50012)",19.2,30.21,50.51,NS
Librarians (51100),22.21,34,62.64,NS
Conservators and curators (51101),N/A,32.22,N/A,NS
Archivists (51102),N/A,36.38,N/A,NS
Editors (51110),18.46,30.2,40.26,NS
Authors and writers (except technical) (51111),15.38,31.25,45,NS
Technical writers (51112),21.18,31.68,44.12,NS
Journalists (51113),19.47,34.87,43.27,NS
"Translators, terminologists and interpreters (51114)",17,25.48,40.87,NS
"Producers, directors, choreographers and related occupations (51120)",18,32.97,52.88,NS
Musicians and singers (51122),N/A,"31,935",N/A,NS
Library and public archive technicians (52100),16,23.08,30.84,NS
Film and video camera operators (52110),19.87,29.21,48.12,NS
Graphic arts technicians (52111),N/A,21.25,N/A,NS
Audio and video recording technicians (52113),17,29,36.75,NS
Announcers and other broadcasters (52114),15,18.5,52.88,NS
"Other technical and coordinating occupations in motion pictures, broadcasting and the performing arts (52119)",18.75,29.75,39.92,NS
Graphic designers and illustrators (52120),20,26.92,45.79,NS
Interior designers and interior decorators (52121),16.62,20,30.77,NS
"Registrars, restorers, interpreters and other occupations related to museum and art galleries (53100)",15,17.42,25,NS
Photographers (53110),16.63,23.31,33.21,NS
"Motion pictures, broadcasting, photography and performing arts assistants and operators (53111)",15,21.41,33.51,NS
"Theatre, fashion, exhibit and other creative designers (53123)",15.21,27.92,35.24,NS
Artisans and craftspersons (53124),15,18,25.56,NS
Coaches (53201),15,22.16,40.87,NS
"Program leaders and instructors in recreation, sport and fitness (54100)",15,15,22,NS
Corporate sales managers (60010),26.44,48.08,66.67,NS
Retail and wholesale trade managers (60020),19,31.99,57.5,NS
Restaurant and food service managers (60030),15,15.5,40.31,NS
Accommodation service managers (60031),19.5,36.06,57.69,NS
Managers in customer and personal services (60040),22.66,33.05,68,NS
Retail sales supervisors (62010),15,17,31.25,NS
Food service supervisors (62020),15,15,28,NS
Executive housekeepers (62021),15,16,18.67,NS
"Accommodation, travel, tourism and related services supervisors (62022)",17.2,25,37.15,NS
Customer and information services supervisors (62023),15.45,22,32.21,NS
Cleaning supervisors (62024),15,19,37,NS
Other services supervisors (62029),15,20,33.47,NS
Technical sales specialists - wholesale trade (62100),16.5,26.67,47.5,NS
Retail and wholesale buyers (62101),16,26,36.06,NS
Chefs (62200),15,17.35,26.88,NS
Funeral directors and embalmers (62201),16,21.25,36.06,NS
Insurance agents and brokers (63100),18,26,36.26,NS
Real estate agents and salespersons (63101),"31,935","51,600","152,000",NS
Financial sales representatives (63102),17.58,26.74,50.96,NS
Cooks (63200),15,15,22,NS
Butchers - retail and wholesale (63201),15,16.4,21,NS
Bakers (63202),15,15,17.5,NS
Hairstylists and barbers (63210),15,15,21.25,NS
"Estheticians, electrologists and related occupations (63211)",15,16.5,35,NS
Retail salespersons and visual merchandisers (64100),15,15,21.8,NS
Sales and account representatives - wholesale trade (non-technical) (64101),15,24,38.46,NS
"Tailors, dressmakers, furriers and milliners (64200)",N/A,15.92,N/A,NS
Maîtres d'hôtel and hosts/hostesses (64300),15,15,21.88,NS
Bartenders (64301),15,17,26,NS
Travel counsellors (64310),15,20.84,25.64,NS
Pursers and flight attendants (64311),15.9,30,50.39,NS
Airline ticket and service agents (64312),15,20.08,40,NS
"Ground and water transport ticket agents, cargo service representatives and related clerks (64313)",15,16,28.55,NS
Hotel front desk clerks (64314),15,15,16.16,NS
Tour and travel guides (64320),15,15.96,23,NS
Casino workers (64321),15,17.96,27.28,NS
Customer services representatives - financial institutions (64400),15.06,18.5,22.05,NS
Postal services representatives (64401),15,25.77,29.76,NS
Other customer and information services representatives (64409),15,16.95,25.96,NS
Security guards and related security service occupations (64410),15,15,24.17,NS
Cashiers (65100),15,15,15,NS
Service station attendants (65101),15,15,15,NS
"Store shelf stockers, clerks and order fillers (65102)",15,15,18.65,NS
Other sales related occupations (65109),15,15,16.27,NS
Food and beverage servers (65200),15,15,21.75,NS
"Food counter attendants, kitchen helpers and related support occupations (65201)",15,15,17.86,NS
Meat cutters and fishmongers – retail and wholesale (65202),15,16.2,23,NS
"Support occupations in accommodation, travel and facilities set-up services (65210)",15,15.24,31.07,NS
"Operators and attendants in amusement, recreation and sport (65211)",15,15.65,24.04,NS
Pet groomers and animal care workers (65220),15,15,19.5,NS
Light duty cleaners (65310),15,16.25,20.4,NS
Specialized cleaners (65311),15,16,25,NS
"Janitors, caretakers and heavy-duty cleaners (65312)",15,18,25,NS
"Dry cleaning, laundry and related occupations (65320)",15,17.78,20.3,NS
Other service support occupations (65329),15,15,20,NS
Construction managers (70010),24.04,40.14,64.9,NS
Home building and renovation managers (70011),"31,935","44,400","82,000",NS
Facility operation and maintenance managers (70012),25,37.02,48.97,NS
Managers in transportation (70020),24.04,39.9,84.13,NS
Postal and courier services managers (70021),N/A,35.33,N/A,NS
"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations (72010)",23.18,36,50.43,NS
"Contractors and supervisors, electrical trades and telecommunications occupations (72011)",33,36,55,NS
"Contractors and supervisors, pipefitting trades (72012)",34,46,55.2,NS
"Contractors and supervisors, carpentry trades (72013)",22.44,27,37.5,NS
"Contractors and supervisors, other construction trades, installers, repairers and servicers (72014)",21,34,43.27,NS
"Contractors and supervisors, mechanic trades (72020)",20,29.41,45.67,NS
"Contractors and supervisors, heavy equipment operator crews (72021)",21.11,32,39,NS
"Supervisors, mail and message distribution occupations (72025)",15,27.5,38.46,NS
Machinists and machining and tooling inspectors (72100),20.52,28.35,43.37,NS
Tool and die makers (72101),22.64,30.47,37.44,NS
Sheet metal workers (72102),18,27.8,37.8,NS
Boilermakers (72103),37.62,43,50,NS
Structural metal and platework fabricators and fitters (72104),21.8,28.71,33.08,NS
Ironworkers (72105),25,35,42,NS
Welders and related machine operators (72106),19,30,41,NS
Electricians (except industrial and power system) (72200),17,27,38,NS
Industrial electricians (72201),24,34.59,40.87,NS
Power system electricians (72202),25,42.2,46.15,NS
Electrical power line and cable workers (72203),26,44,49.5,NS
Telecommunications line and cable installers and repairers (72204),15,28.63,39.26,NS
Telecommunications equipment installation and cable television service technicians (72205),18,32,40,NS
Plumbers (72300),15,27,39.52,NS
"Steamfitters, pipefitters and sprinkler system installers (72301)",27,40,50,NS
Gas fitters (72302),N/A,28.57,N/A,NS
Carpenters (72310),17,23.5,34.99,NS
Cabinetmakers (72311),17.47,23.22,30.58,NS
Bricklayers (72320),20.45,28,36.24,NS
Insulators (72321),19.96,36.74,40.91,NS
Construction millwrights and industrial mechanics (72400),20,30,43.5,NS
Heavy-duty equipment mechanics (72401),22,30,41.5,NS
"Heating, refrigeration and air conditioning mechanics (72402)",20,30,38.25,NS
Aircraft mechanics and aircraft inspectors (72404),24.47,35,42.69,NS
Elevator constructors and mechanics (72406),26.1,38.4,50.14,NS
"Automotive service technicians, truck and bus mechanics and mechanical repairers (72410)",15,25,34,NS
"Auto body collision, refinishing and glass technicians and damage repair estimators (72411)",17.5,20,28.85,NS
Oil and solid fuel heating mechanics (72420),16.75,22,31,NS
Appliance servicers and repairers (72421),19.29,24.85,32.13,NS
Electrical mechanics (72422),N/A,30.02,N/A,NS
"Motorcycle, all-terrain vehicle and other related mechanics (72423)",15,28.55,41.17,NS
Other small engine and small equipment repairers (72429),17.49,23.2,30.68,NS
Crane operators (72500),22.2,38.32,50,NS
"Air pilots, flight engineers and flying instructors (72600)",18.36,50.48,89.74,NS
Air traffic controllers and related occupations (72601),N/A,43.83,N/A,NS
"Deck officers, water transport (72602)",25,37.68,65.38,NS
"Engineer officers, water transport (72603)",22.89,42,87.41,NS
Other technical trades and related occupations (72999),16,25,35,NS
Concrete finishers (73100),19,24,29,NS
"Plasterers, drywall installers and finishers and lathers (73102)",17,26,34.08,NS
Roofers and shinglers (73110),17,22,31,NS
Glaziers (73111),17,25.16,33.3,NS
Painters and decorators (except interior decorators) (73112),15.05,20,32.28,NS
Floor covering installers (73113),17.5,21.5,25,NS
Residential and commercial installers and servicers (73200),18,23,32,NS
General building maintenance workers and building superintendents (73201),15,18,27.5,NS
Pest controllers and fumigators (73202),N/A,20.57,N/A,NS
Other repairers and servicers (73209),15,20.77,32,NS
Transport truck drivers (73300),15.38,21.28,31.43,NS
"Bus drivers, subway operators and other transit operators (73301)",19.5,24.16,28.61,NS
Railway and yard locomotive engineers (73310),26.57,41.91,52.1,NS
Heavy equipment operators (73400),19.44,23.01,31,NS
Printing press operators (73401),15,22.59,30.69,NS
Mail and parcel sorters and related occupations (74100),19,25,29,NS
Letter carriers (74101),21.19,27,31.25,NS
Couriers and messengers (74102),15,19.23,49.33,NS
Railway yard and track maintenance workers (74200),18.95,26.27,41.3,NS
Water transport deck and engine room crew (74201),21.7,26.07,32.42,NS
Air transport ramp attendants (74202),15,17,29.41,NS
Automotive and heavy truck and equipment parts installers and servicers (74203),15,18,28.63,NS
Utility maintenance workers (74204),22,26,33.65,NS
Public works maintenance equipment operators and related workers (74205),17,23,27,NS
Longshore workers (75100),19.86,26.14,42.53,NS
Material handlers (75101),15,18.25,25.28,NS
Construction trades helpers and labourers (75110),15,19,26.5,NS
Other trades helpers and labourers (75119),15,18,25,NS
Taxi and limousine drivers and chauffeurs (75200),15,17.82,25.69,NS
Delivery service drivers and door-to-door distributors (75201),15,17.5,30,NS
Boat and cable ferry operators and related occupations (75210),25,29,38.46,NS
Railway and motor transport labourers (75211),15,16,22.5,NS
Public works and maintenance labourers (75212),15.6,21,32,NS
Managers in natural resources production and fishing (80010),32.69,55.56,76.92,NS
Managers in agriculture (80020),15,20.6,58.82,NS
Managers in aquaculture (80022),20.83,28.12,48.73,NS
"Supervisors, logging and forestry (82010)",18.46,25.26,39.67,NS
"Supervisors, mining and quarrying (82020)",N/A,44.07,N/A,NS
"Contractors and supervisors, oil and gas drilling and services (82021)",35.81,51.69,65.31,NS
"Contractors and supervisors, landscaping, grounds maintenance and horticulture services (82031)",18,25,30,NS
Underground production and development miners (83100),15,25.85,30.25,NS
"Oil and gas well drillers, servicers, testers and related workers (83101)",32.02,36.91,62,NS
Logging machinery operators (83110),18,23,29,NS
Fishing masters and officers (83120),16.28,30,80,NS
Fishermen/women (83121),16.67,27.48,60,NS
Silviculture and forestry workers (84111),15.62,21.77,28,NS
Specialized livestock workers and farm machinery operators (84120),15,16.25,24.29,NS
Fishing vessel deckhands (84121),16.5,22.77,40,NS
Livestock labourers (85100),15,15,18.26,NS
Harvesting labourers (85101),15,15,18.5,NS
Aquaculture and marine harvest labourers (85102),15,17.95,20.5,NS
Nursery and greenhouse labourers (85103),15,15,19,NS
Mine labourers (85110),19.21,28.27,39.94,NS
"Oil and gas drilling, servicing and related labourers (85111)",18,31.09,37.4,NS
Logging and forestry labourers (85120),15,18,40,NS
Landscaping and grounds maintenance labourers (85121),15,16,21.1,NS
Manufacturing managers (90010),21.5,35,57.69,NS
Utilities managers (90011),31,42.31,64.06,NS
"Supervisors, mineral and metal processing (92010)",22.29,30.66,43.1,NS
"Supervisors, petroleum, gas and chemical processing and utilities (92011)",21,42,48,NS
"Supervisors, food and beverage processing (92012)",18,27.47,35,NS
"Supervisors, plastic and rubber products manufacturing (92013)",22,30.2,38,NS
"Supervisors, forest products processing (92014)",21.42,30.69,43.27,NS
"Supervisors, other mechanical and metal products manufacturing (92023)",21,35,50,NS
"Supervisors, other products manufacturing and assembly (92024)",N/A,23.87,N/A,NS
Power engineers and power systems operators (92100),22,35.9,50,NS
Water and waste treatment plant operators (92101),23,26.07,32.27,NS
Aircraft assemblers and aircraft assembly inspectors (93200),16.5,25,46.15,NS
"Machine operators, mineral and metal processing (94100)",16.86,22.72,28.53,NS
"Concrete, clay and stone forming operators (94103)",16,20.41,25.5,NS
Machining tool operators (94106),19.54,24.21,32.47,NS
Machine operators of other metal products (94107),18.11,22.69,30.02,NS
Plastics processing machine operators (94111),15,19.75,27,NS
Rubber processing machine operators and related workers (94112),20,25,30.6,NS
Sawmill machine operators (94120),15,19.75,24.25,NS
"Pulp mill, papermaking and finishing machine operators (94121)",N/A,32.78,N/A,NS
Paper converting machine operators (94122),19.79,23.31,31.35,NS
Industrial sewing machine operators (94132),15.78,17,17,NS
"Inspectors and graders, textile, fabric, fur and leather products manufacturing (94133)",15,15,17,NS
"Process control and machine operators, food and beverage processing (94140)",15,18,27,NS
"Industrial butchers and meat cutters, poultry preparers and related workers (94141)",15,19.25,21.26,NS
Fish and seafood plant workers (94142),15,15.5,19,NS
"Testers and graders, food and beverage processing (94143)",15.68,19.04,22,NS
Plateless printing equipment operators (94150),15.24,21.32,23.08,NS
"Camera, platemaking and other prepress occupations (94151)",N/A,23.56,N/A,NS
"Electronics assemblers, fabricators, inspectors and testers (94201)",15,20.26,28,NS
Mechanical assemblers and inspectors (94204),15.5,24,44,NS
"Furniture and fixture assemblers, finishers, refinishers and inspectors (94210)",15,18,24.25,NS
Assemblers and inspectors of other wood products (94211),15,16.57,20.18,NS
"Industrial painters, coaters and metal finishing process operators (94213)",15,28.87,36,NS
"Other products assemblers, finishers and inspectors (94219)",15.03,20.85,28,NS
Labourers in mineral and metal processing (95100),15,19.96,30.76,NS
Labourers in metal fabrication (95101),15,19.28,30,NS
Labourers in chemical products processing and utilities (95102),15,20,34.24,NS
"Labourers in wood, pulp and paper processing (95103)",15,16.88,21,NS
Labourers in rubber and plastic products manufacturing (95104),15,19,26,NS
Labourers in food and beverage processing (95106),15,17.34,22,NS
Labourers in fish and seafood processing (95107),15,16.81,20,NS
"Other labourers in processing, manufacturing and utilities (95109)",15,16.45,22.55,NS
Legislators (00010),N/A,"153,000",N/A,NU
Senior government managers and officials (00011),68.15,86.96,133.64,NU
Financial managers (10010),N/A,68.68,N/A,NU
Human resources managers (10011),N/A,63.37,N/A,NU
Other administrative services managers (10019),N/A,64.42,N/A,NU
"Advertising, marketing and public relations managers (10022)",N/A,61.06,N/A,NU
Financial auditors and accountants (11100),N/A,67.79,N/A,NU
Human resources professionals (11200),40,46.15,64.62,NU
"Professional occupations in advertising, marketing and public relations (11202)",34.12,48.71,66.28,NU
Executive assistants (12100),31.27,43.46,59.13,NU
Human resources and recruitment officers (12101),35.34,46.17,61.84,NU
Procurement and purchasing agents and officers (12102),N/A,59.66,N/A,NU
Accounting technicians and bookkeepers (12200),37.74,55.83,75.99,NU
Administrative officers (13100),25,43,55.38,NU
Property administrators (13101),N/A,57.94,N/A,NU
Payroll administrators (13102),N/A,51.59,N/A,NU
Administrative assistants (13110),20,30,41,NU
Legal administrative assistants (13111),22.14,34.58,45.47,NU
General office support workers (14100),19,40.27,61.92,NU
Receptionists (14101),N/A,39.34,N/A,NU
Data entry clerks (14111),18.75,30.02,40.81,NU
Accounting and related clerks (14200),19,47.57,65.98,NU
"Correspondence, publication and regulatory clerks (14301)",28.46,39.98,48.95,NU
Dispatchers (14404),21.12,36.53,50.57,NU
Biologists and related scientists (21110),N/A,61.23,N/A,NU
Urban and land use planners (21202),31.85,52.79,76.43,NU
Information systems specialists (21222),40.94,57.51,73.73,NU
Biological technologists and technicians (22110),25.41,46.69,54.52,NU
Conservation and fishery officers (22113),N/A,58.7,N/A,NU
Technical occupations in geomatics and meteorology (22214),21.77,37.41,48.26,NU
Computer network and web technicians (22220),N/A,52.88,N/A,NU
Managers in health care (30010),N/A,56.38,N/A,NU
Registered nurses and registered psychiatric nurses (31301),34.75,64.69,83.04,NU
"Nurse aides, orderlies and patient service associates (33102)",19,20.74,46.19,NU
Government managers - health and social policy development and program administration (40010),N/A,66.57,N/A,NU
"Government managers - economic analysis, policy development and program administration (40011)",53.56,71.55,88.16,NU
School principals and administrators of elementary and secondary education (40021),N/A,65.56,N/A,NU
"Managers in social, community and correctional services (40030)",N/A,61.64,N/A,NU
Judges (41100),"395,700","395,700","395,700",NU
Lawyers and Quebec notaries (41101),N/A,69.32,N/A,NU
College and other vocational instructors (41210),N/A,61.94,N/A,NU
Secondary school teachers (41220),26.38,59.4,73.5,NU
Elementary school and kindergarten teachers (41221),20.13,55.3,71.24,NU
Social workers (41300),40.25,59.85,72.42,NU
Educational counsellors (41320),N/A,50.96,N/A,NU
"Natural and applied science policy researchers, consultants and program officers (41400)",40.48,58.3,72.44,NU
Business development officers and market researchers and analysts (41402),34.37,48.04,63.62,NU
"Social policy researchers, consultants and program officers (41403)",33.45,53.13,76.94,NU
"Health policy researchers, consultants and program officers (41404)",29.62,48.22,66.07,NU
"Education policy researchers, consultants and program officers (41405)",33.35,54.12,71.05,NU
Program officers unique to government (41407),23.62,55.58,76.76,NU
Police officers (except commissioned) (42100),37.11,58.62,86.88,NU
Firefighters (42101),25.39,45.52,70.58,NU
Social and community service workers (42201),26.66,41.17,54.01,NU
Early childhood educators and assistants (42202),19,22,30,NU
Elementary and secondary school teacher assistants (43100),26.67,33.33,44.62,NU
Other instructors (43109),19,23.34,47.38,NU
Correctional service officers (43201),30,40,55.38,NU
"Home support workers, caregivers and related occupations (44101)",24.05,34.52,46.43,NU
"Translators, terminologists and interpreters (51114)",28.51,44.87,60.05,NU
Announcers and other broadcasters (52114),19,19.69,43.59,NU
"Program leaders and instructors in recreation, sport and fitness (54100)",19,19,25.35,NU
Retail and wholesale trade managers (60020),19,35.27,60.88,NU
Accommodation service managers (60031),24.86,41.79,67.49,NU
Retail sales supervisors (62010),19,24.46,39,NU
Cooks (63200),19,24,34.5,NU
Retail salespersons and visual merchandisers (64100),N/A,20.32,N/A,NU
Airline ticket and service agents (64312),N/A,19.81,N/A,NU
Security guards and related security service occupations (64410),19,22,32,NU
Cashiers (65100),19,19,23.48,NU
"Store shelf stockers, clerks and order fillers (65102)",19,19,25.97,NU
"Food counter attendants, kitchen helpers and related support occupations (65201)",N/A,23.08,N/A,NU
"Operators and attendants in amusement, recreation and sport (65211)",19,19,25.51,NU
Light duty cleaners (65310),19,20,32,NU
"Janitors, caretakers and heavy-duty cleaners (65312)",19,24,29.75,NU
Construction managers (70010),34.95,57.41,76.39,NU
Facility operation and maintenance managers (70012),N/A,58.15,N/A,NU
Managers in transportation (70020),30.54,49.62,69.57,NU
Electricians (except industrial and power system) (72200),19.72,31.87,43.53,NU
Plumbers (72300),23.49,41.23,47.56,NU
Carpenters (72310),23,32,41.25,NU
Heavy-duty equipment mechanics (72401),23.88,45.41,56.16,NU
"Automotive service technicians, truck and bus mechanics and mechanical repairers (72410)",20.01,32.72,46.83,NU
General building maintenance workers and building superintendents (73201),19,39.49,69.23,NU
Transport truck drivers (73300),19,30.11,44.13,NU
"Bus drivers, subway operators and other transit operators (73301)",19,20.47,33.62,NU
Heavy equipment operators (73400),24,33.75,41.35,NU
Construction trades helpers and labourers (75110),20,28,40,NU
Other trades helpers and labourers (75119),19,23.35,33.59,NU
Public works and maintenance labourers (75212),19,22,26,NU
Underground production and development miners (83100),23.44,34.81,40.24,NU
Mine labourers (85110),19,32.39,56.64,NU
Power engineers and power systems operators (92100),33.1,44.17,58.32,NU
Water and waste treatment plant operators (92101),19,33.4,50.03,NU
Legislators (00010),"34,800","93,000","192,000",AB
Senior government managers and officials (00011),39.23,72.12,100,AB
"Senior managers - financial, communications and other business services (00012)",39.9,87.41,132.21,AB
"Senior managers - trade, broadcasting and other services (00014)",24.5,41.03,76.92,AB
"Senior managers - construction, transportation, production and utilities (00015)",25,56.41,115.38,AB
Financial managers (10010),36.92,60.1,96.15,AB
Human resources managers (10011),36.92,55.61,96.15,AB
Purchasing managers (10012),28.85,58.16,91.63,AB
Other administrative services managers (10019),18.76,42.34,96.53,AB
"Insurance, real estate and financial brokerage managers (10020)",32.97,55.41,67.69,AB
"Banking, credit and other investment managers (10021)",34.87,49.69,76.92,AB
"Advertising, marketing and public relations managers (10022)",36.06,48.08,76.44,AB
Other business services managers (10029),39.42,55,86.54,AB
Telecommunication carriers managers (10030),34.62,47.69,70.46,AB
Financial auditors and accountants (11100),24.04,41.52,72.12,AB
Financial and investment analysts (11101),24.7,46.96,78.46,AB
Financial advisors (11102),26,35.1,57.95,AB
"Securities agents, investment dealers and brokers (11103)",25,57.69,91.35,AB
Other financial officers (11109),25.64,39.49,72.12,AB
Human resources professionals (11200),24,38,63,AB
Professional occupations in business management consulting (11201),29.55,45.33,65,AB
"Professional occupations in advertising, marketing and public relations (11202)",20,32,50.33,AB
"Supervisors, general office and administrative support workers (12010)",19.75,30,44,AB
"Supervisors, finance and insurance office workers (12011)",19,32.43,48.47,AB
"Supervisors, library, correspondence and related information workers (12012)",N/A,25.58,N/A,AB
"Supervisors, supply chain, tracking and scheduling coordination occupations (12013)",18.5,28.85,51,AB
Executive assistants (12100),20,32.05,49.32,AB
Human resources and recruitment officers (12101),21.87,30.77,67.58,AB
Procurement and purchasing agents and officers (12102),25.35,39.71,63.1,AB
Conference and event planners (12103),19,27,49.45,AB
Employment insurance and revenue officers (12104),20.19,30.68,45.16,AB
"Court reporters, medical transcriptionists and related occupations (12110)",16,31,33.5,AB
Health information management occupations (12111),27.26,37.51,48.05,AB
Records management technicians (12112),20,32.95,47.14,AB
Statistical officers and related research support occupations (12113),18.2,36.79,59.55,AB
Accounting technicians and bookkeepers (12200),19.23,28,46.63,AB
Insurance adjusters and claims examiners (12201),23.08,36.54,55.29,AB
Insurance underwriters (12202),23.99,32,38.69,AB
"Assessors, business valuators and appraisers (12203)",15,37.8,67.05,AB
Administrative officers (13100),20.77,28,43.59,AB
Property administrators (13101),20,30.19,57.69,AB
Payroll administrators (13102),19,30,42.86,AB
Administrative assistants (13110),18,25.48,35,AB
Legal administrative assistants (13111),18.75,30,43.85,AB
Medical administrative assistants (13112),20.19,28,33.5,AB
"Customs, ship and other brokers (13200)",N/A,27.47,N/A,AB
Production and transportation logistics coordinators (13201),21.5,27.75,48.75,AB
General office support workers (14100),15.85,25,36.65,AB
Receptionists (14101),16,20,30,AB
Personnel clerks (14102),24,30,36.67,AB
Court clerks and related court services occupations (14103),22.63,31.81,39.76,AB
Survey interviewers and statistical clerks (14110),17.83,18.82,30.79,AB
Data entry clerks (14111),15,23.08,32.5,AB
Accounting and related clerks (14200),17.31,24.6,41.35,AB
"Banking, insurance and other financial clerks (14201)",18.27,22.5,30,AB
Collection clerks (14202),20.7,28.26,40.3,AB
Library assistants and clerks (14300),15.61,25.48,34.56,AB
"Correspondence, publication and regulatory clerks (14301)",17,23,32.31,AB
Shippers and receivers (14400),16,20,28.7,AB
Storekeepers and partspersons (14401),21.7,28,39.85,AB
Production logistics workers (14402),17.53,33.57,79.27,AB
Purchasing and inventory control workers (14403),18,24,44.02,AB
Dispatchers (14404),17,28.85,46.15,AB
Transportation route and crew schedulers (14405),21.62,35.47,57.43,AB
Engineering managers (20010),45,72.12,110.58,AB
Architecture and science managers (20011),28.67,51.59,97.71,AB
Computer and information systems managers (20012),34.86,64.9,96.15,AB
Physicists and astronomers (21100),N/A,56.32,N/A,AB
Chemists (21101),35,62.49,86.54,AB
Geoscientists and oceanographers (21102),28.85,46.15,93.75,AB
Meteorologists and climatologists (21103),N/A,55.59,N/A,AB
Other professional occupations in physical sciences (21109),33.42,51.79,69.73,AB
Biologists and related scientists (21110),26.44,43.61,72.12,AB
Forestry professionals (21111),28.76,43.13,64.25,AB
"Agricultural representatives, consultants and specialists (21112)",27.5,36.06,48.56,AB
Public and environmental health and safety professionals (21120),26,45,68,AB
Architects (21200),23.08,38.65,57.69,AB
Landscape architects (21201),N/A,38.04,N/A,AB
Urban and land use planners (21202),28.85,50,60,AB
Land surveyors (21203),33.5,40.62,51,AB
"Mathematicians, statisticians and actuaries (21210)",23.23,44.39,74.14,AB
Data scientists (21211),28.57,43.14,78.61,AB
Cybersecurity specialists (21220),31.94,49.57,102.01,AB
Business systems specialists (21221),29.53,47.12,57.96,AB
Information systems specialists (21222),28.72,48.08,67.31,AB
Database analysts and data administrators (21223),23.08,42,58.67,AB
Computer systems developers and programmers (21230),25.08,45.42,68.14,AB
Software engineers and designers (21231),29.74,52.88,76.92,AB
Software developers and programmers (21232),26.44,40.87,64.33,AB
Web designers (21233),15,28.32,48.47,AB
Web developers and programmers (21234),21.63,36.07,86.54,AB
Civil engineers (21300),30,50.48,78.8,AB
Mechanical engineers (21301),29.81,48.08,72,AB
Electrical and electronics engineers (21310),33.33,48.08,73,AB
Computer engineers (except software engineers and designers) (21311),16.83,41.35,72.12,AB
Chemical engineers (21320),37.5,62.5,86.55,AB
Industrial and manufacturing engineers (21321),22.63,55.25,85.1,AB
Metallurgical and materials engineers (21322),34.95,58.4,104.85,AB
Mining engineers (21330),40.87,48.08,100.48,AB
Geological engineers (21331),31.32,57.03,123.4,AB
Petroleum engineers (21332),30.36,62.5,95,AB
Other professional engineers (21399),32.5,48.08,75,AB
Chemical technologists and technicians (22100),20,29.33,42.56,AB
Geological and mineral technologists and technicians (22101),25,31.45,67,AB
Biological technologists and technicians (22110),15.46,23,35,AB
Agricultural and fish products inspectors (22111),22.96,36.17,49.94,AB
Forestry technologists and technicians (22112),28.73,40.85,57.47,AB
Conservation and fishery officers (22113),31.8,41.42,49.31,AB
Landscape and horticulture technicians and specialists (22114),17,21,28,AB
Architectural technologists and technicians (22210),21.6,30.09,40.95,AB
Industrial designers (22211),15,36.84,54.34,AB
Drafting technologists and technicians (22212),25,31,44,AB
Land survey technologists and technicians (22213),21,35,46.7,AB
Technical occupations in geomatics and meteorology (22214),20,43.01,46.15,AB
Computer network and web technicians (22220),24.5,36.06,50.26,AB
User support technicians (22221),18.5,28.85,44.47,AB
Information systems testing technicians (22222),15,37.5,38.97,AB
Non-destructive testers and inspectors (22230),20.91,35.8,50.57,AB
Engineering inspectors and regulatory officers (22231),41.64,48,74.04,AB
Occupational health and safety specialists (22232),20,40,60.33,AB
Construction inspectors (22233),24,39.9,58.78,AB
Civil engineering technologists and technicians (22300),19.78,28,52,AB
Mechanical engineering technologists and technicians (22301),29.23,40,52,AB
