Occupation (NOC),Low,Median,High,Province
Drafting technologists and technicians (22212),19,29.23,40,ON
Land survey technologists and technicians (22213),20,29.5,42.49,ON
Technical occupations in geomatics and meteorology (22214),28.75,37.36,62.37,ON
Computer network and web technicians (22220),18,33.65,50.55,ON
User support technicians (22221),18,30,51.28,ON
Information systems testing technicians (22222),18,36.59,48.41,ON
Non-destructive testers and inspectors (22230),19.95,30,46.7,ON
Engineering inspectors and regulatory officers (22231),31,38,58.97,ON
Occupational health and safety specialists (22232),25,38.46,57.44,ON
Construction inspectors (22233),22,33.65,49.45,ON
Civil engineering technologists and technicians (22300),22.22,33,49.74,ON
Mechanical engineering technologists and technicians (22301),19,32.05,49.23,ON
Industrial engineering and manufacturing technologists and technicians (22302),20,31.25,48.08,ON
Construction estimators (22303),21.63,32.69,57.5,ON
Electrical and electronics engineering technologists and technicians (22310),18.46,34,50.77,ON
Electronic service technicians (household and business equipment) (22311),18.5,24.04,47.2,ON
Industrial instrument technicians and mechanics (22312),28.8,37.4,56,ON
"Aircraft instrument, electrical and avionics mechanics, technicians and inspectors (22313)",21.09,37.09,55.98,ON
Managers in health care (30010),24.04,49.74,73.63,ON
Specialists in clinical and laboratory medicine (31100),"87,103","241,372","522,764",ON
Specialists in surgery (31101),"109,330","352,614","688,230",ON
General practitioners and family physicians (31102),"91,299","251,496","468,993",ON
Veterinarians (31103),21,50.48,90.91,ON
Dentists (31110),"35,320","104,000","210,000",ON
Optometrists (31111),"35,320","78,000","156,000",ON
Audiologists and speech-language pathologists (31112),30.29,43.59,56.41,ON
Pharmacists (31120),40,51.5,65,ON
Dietitians and nutritionists (31121),21.83,38,48.65,ON
Psychologists (31200),18,39.11,61.54,ON
Chiropractors (31201),"35,320","61,200","137,000",ON
Physiotherapists (31202),23.08,42.74,50,ON
Occupational therapists (31203),33.5,43.27,51.03,ON
Kinesiologists and other professional occupations in therapy and assessment (31204),20,26.37,42.39,ON
Other professional occupations in health diagnosing and treating (31209),"35,320","62,000","122,000",ON
Nursing coordinators and supervisors (31300),25.64,42,55.56,ON
Registered nurses and registered psychiatric nurses (31301),26.67,38.05,48.6,ON
Nurse practitioners (31302),24.04,54.01,66.67,ON
"Physician assistants, midwives and allied health professionals (31303)",16.55,55,70.19,ON
Opticians (32100),16.55,25,35.42,ON
Licensed practical nurses (32101),24.25,30,33,ON
Paramedical occupations (32102),20,40.5,48,ON
"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists (32103)",28,39.8,56.46,ON
Animal health technologists and veterinary technicians (32104),16.55,20,30,ON
Other technical occupations in therapy and assessment (32109),16.55,23,35,ON
Denturists (32110),"35,320","46,400","136,000",ON
Dental hygienists and dental therapists (32111),30,38,48,ON
Dental technologists and technicians (32112),20,26,43.27,ON
Medical laboratory technologists (32120),27,39.96,47,ON
Medical radiation technologists (32121),32,42,48,ON
Medical sonographers (32122),30,38,45,ON
Cardiology technologists and electrophysiological diagnostic technologists (32123),28,32,44.6,ON
Pharmacy technicians (32124),16.55,20,30,ON
Other medical technologists and technicians (32129),16.55,18,28,ON
Traditional Chinese medicine practitioners and acupuncturists (32200),N/A,"35,320",N/A,ON
Massage therapists (32201),"35,320","35,320","57,200",ON
Other practitioners of natural healing (32209),"35,320","35,320","73,500",ON
Dental assistants and dental laboratory assistants (33100),20,25,30,ON
Medical laboratory assistants and related technical occupations (33101),16.83,25.96,36.81,ON
"Nurse aides, orderlies and patient service associates (33102)",17,22,27.47,ON
Pharmacy technical assistants and pharmacy assistants (33103),16.55,22,33,ON
Other assisting occupations in support of health services (33109),16.55,20,28,ON
Government managers - health and social policy development and program administration (40010),38.46,60.44,82.05,ON
"Government managers - economic analysis, policy development and program administration (40011)",51.28,58.97,76.92,ON
Government managers - education policy development and program administration (40012),26.6,46.77,72.45,ON
Other managers in public administration (40019),38.11,59.5,74.87,ON
Administrators - post-secondary education and vocational training (40020),34.19,52.88,82.42,ON
School principals and administrators of elementary and secondary education (40021),33.65,54.33,67.31,ON
"Managers in social, community and correctional services (40030)",24.25,43.85,71.79,ON
Commissioned police officers and related occupations in public protection services (40040),35.95,58.97,96.15,ON
Fire chiefs and senior firefighting officers (40041),35.91,62.09,77.85,ON
Commissioned officers of the Canadian Armed Forces (40042),20.75,44.03,57.98,ON
Judges (41100),"365,551","383,700","385,700",ON
Lawyers and Quebec notaries (41101),33.65,57.95,99.04,ON
University professors and lecturers (41200),27.47,60.1,97.44,ON
Post-secondary teaching and research assistants (41201),16.55,29,47,ON
College and other vocational instructors (41210),19.2,43.59,86.54,ON
Secondary school teachers (41220),30.65,48.08,60.9,ON
Elementary school and kindergarten teachers (41221),25,44.1,56.3,ON
Social workers (41300),24,37,49,ON
Therapists in counselling and related specialized therapies (41301),19.61,28,43.75,ON
Religious leaders (41302),16.55,27.78,42.5,ON
Police investigators and other investigative occupations (41310),41.27,52,58.44,ON
Probation and parole officers (41311),34,42.74,47,ON
Educational counsellors (41320),20,39.42,51.92,ON
Career development practitioners and career counsellors (except education) (41321),20,28.85,41.03,ON
"Natural and applied science policy researchers, consultants and program officers (41400)",28.85,39.19,59.86,ON
